English,Indonesia
Don't move.,Jangan bergerak.
Don't talk!,Jangan berbicara!
Duty calls.,Panggilan tugas.
Eat slowly.,Makan pelan-pelan.
Follow him.,Ikuti dia.
Forget him.,Lupakan dirinya.
He is a DJ.,Dia adalah seorang DJ.
He is lazy.,Dia pemalas.
He's smart.,Dia pintar.
"Hello, Tom.","Halo, Tom!"
How boring!,Membosankan sekali!
How clever!,Pintar!
I am a man.,Aku laki-laki.
I am going.,Saya pergi.
I just ate.,Aku baru makan.
I like him.,Aku suka dia.
I love you.,Aku cinta kamu.
I love you.,aku mencintaimu
I miss you.,Aku merindukanmu.
I miss you.,Aku rindu kamu.
I'm hiding.,Aku sedang sembunyi.
I'm hungry!,Aku lapar!
I'm hungry.,Saya lapar.
I'm hungry.,Aku lapar.
I'm joking.,Aku bercanda.
I'm pooped.,Aku sangat capek.
I'm sleepy!,Aku ngantuk!
I'm sleepy.,Aku ngantuk.
Is Tom ill?,Apa Tom sakit?
Is it love?,Apakah ini cinta?
Is it true?,Apa itu benar?
Is that so?,Apa benar begitu?
It'll burn.,Itu akan terbakar
It's night.,Sekarang malam.
It's weird.,Itu aneh.
It's weird.,Ini aneh.
Let me see.,Coba saya lihat.
Look at me.,Lihat saya.
No kidding?,Beneran?
No problem!,Tidak masalah!
No problem.,Tidak masalah.
"Oh, really?","Oh, benarkah?"
Please sit.,Silakan duduk.
Step on it!,Cepatlah!
Step on it!,Cepat!
That's odd.,Itu aneh.
That's tea.,Itu teh.
Tom agrees.,Tom setuju.
Tom did it.,Tom melakukannya.
Tom is fun.,Tom menyenangkan
Tom smiles.,Tom tersenyum.
Tom was OK.,Tom dalam keadaan baik.
Tom's home.,Tom di rumah.
Turn right.,Belok kanan.
Was he Tom?,Apakah dia Tom?
We're sure.,Kami yakin.
Who is Tom?,Tom itu siapa?
Are you cut?,Apa kau melakukan khitan?
Are you new?,Kamu orang baru?
Can you see?,Kamu masih belum mengerti?
Do it later.,Lakukan itu nanti.
Do you bowl?,Apa kau bermain boling?
Don't blink.,Jangan berkedip!
Don't cheat.,Jangan curang.
Don't cheat.,Jangan menyontek.
Don't fight.,Jangan bertengkar!
Don't fight.,Jangan berkelahi!
Don't smoke.,Jangan merokok.
Don't worry.,Jangan khawatir
Give me one.,Beri aku satu.
Give me one.,Beri saya sebuah.
Go to sleep.,Pergilah tidur.
Grab a seat.,Duduklah.
Have a seat.,Duduklah.
He has wine.,Dia memiliki anggur.
He is alone.,Dia sendirian.
He is crazy.,Dia gila.
He is eight.,Dia delapan tahun.
He's coming.,Dia datang.
How are you?,Apa kabar?
How are you?,Bagaimana kabar Anda?
I also went.,Saya juga pergi.
I feel well.,Saya baik-baik saja.
I felt dumb.,Aku merasa bodoh.
I found you.,Aku menemukanmu.
I got tired.,Aku lelah.
I have time.,Aku punya waktu.
I like blue.,Aku suka biru.
I like cats.,Aku suka kucing.
I like this.,Aku suka ini.
I need cash.,Aku perlu uang.
I thank you.,Aku berterima kasih.
I trust him.,Saya mempercayainya.
I want mine.,Aku mau punyaku.
I was tired.,Aku lelah.
"I went, too.",Saya juga pergi.
I'm kidding.,Aku bercanda.
I'm not shy.,Saya tidak malu.
I'm serious.,Aku serius.
I'm starved.,Aku kelaparan.
I'm thirsty.,Aku haus.
I'm too fat.,Aku terlalu gemuk.
I've failed.,Aku sudah gagal.
I've failed.,Aku telah gagal.
Is Tom sick?,Apa Tom sakit?
Is Tom well?,Apa Tom sehat?
It can't be!,Tidak mungkin!
It may rain.,Mungkin akan turun hujan.
It's a fake.,Itu palsu.
It's a joke.,Bercanda.
Let's do it!,Mari kita melakukannya!
Let's do it!,Mari kita lakukan!
Let's do it.,Mari kita lakukan.
Let's do it.,Mari kita melakukannya.
Let's party.,Mari berpesta.
Look at Tom.,Lihatlah ke arah Tom.
Make a fist.,Kepalkan tangan Anda.
Many thanks.,Terima kasih banyak.
Many thanks.,Makasih banyak.
Nobody came.,Tidak ada yang datang.
"OK, you win.","Oke, kamu menang."
"OK, you win.","Baiklah, kamu menang."
OK. I agree.,"Oke, aku setuju."
Please stop!,Tolong berhenti!
Please stop.,Tolong berhenti.
Say goodbye.,Ucapkan selamat tinggal.
She blushed.,Ia tersipu malu.
Stand still!,Diam di situ!
Take a seat.,Duduklah.
That's life.,Begitulah hidup.
This is Tom.,Ini Tom.
This is big.,Ini besar.
This is odd.,Ini aneh.
Tom blinked.,Tom berkedip.
Tom fainted.,Tom pingsan.
Tom is rich.,Tom kaya.
Tom is rude.,Tom adalah seorang yang kasar.
Tom's flaky.,Tom itu suka berpangku tangan.
Turn on CNN.,Nyalakan CNN.
We can meet.,Kita bisa bertemu.
We help Tom.,Kami membantu Tom.
We know him.,Kami mengenalnya.
We'll fight.,Kita akan bertarung.
What a bore!,Membosankan sekali!
What a pity!,Sayang sekali!
What's that?,Itu apa?
What's this?,Ini apa?
Who drew it?,Siapa yang menggambar itu?
Whose is it?,Itu punya siapa?
You're thin.,Kamu kurus.
Are you sure?,Apakah kamu yakin?
Are you sure?,Apakah Anda yakin?
Are you sure?,Apa kau yakin?
Blood is red.,Darah itu merah.
Blood is red.,Darah berwarna merah.
Cut that out!,Hentikan itu!
Don't ask me.,Jangan tanya aku.
Don't go yet.,Jangan pergi dulu.
Don't kid me!,Jangan mempermainkanku!
Good morning.,Selamat pagi.
Has Tom gone?,Sudahkah Tom pergi?
How horrible!,Mengerikan sekali!
I am curious.,Aku ingin tahu.
I am curious.,Aku penasaran.
I can't read.,Aku tidak bisa membaca.
I can't surf.,Aku tidak bisa berselancar.
I don't care.,Saya tidak peduli.
I don't know.,Saya tidak tahu.
I feel tired.,Aku merasa capek.
I must study.,Aku harus belajar.
I need money.,Aku perlu uang.
I smelled it.,Aku menciumnya.
I understand.,Aku mengerti.
I want to go.,Saya ingin pergi.
I'm a person.,Aku orang.
I'm famished.,Aku sangat lapar.
I'm not dumb.,Aku tidak dungu.
I'm not here.,Aku tidak berada di sini.
I'm not sure.,Aku tidak yakin.
I'm so sorry.,Saya sangat menyesal.
I'm starving.,Aku kelaparan.
I'm the best.,Saya yang terbaik.
I'm worn out.,Aku kelelahan.
Is that true?,Apa itu benar?
Is this true?,Apa ini benar?
Is this true?,Apakah ini benar?
It is my cat.,Ini kucing saya.
It was Tom's.,Itu dulu milik Tom.
It was a lie.,Itu bohong.
It was clear.,Tadi itu jelas.
It's my ship.,Ini kapalku.
It's no joke.,Ini bukan lelucon.
It's obvious.,Itu jelas.
It's raining.,Sedang turun hujan.
It's strange.,Itu aneh.
It's strange.,Ini aneh.
Jump over it.,Lompati itu!
Keep driving.,Teruslah mengemudi.
Keep reading.,Teruslah membaca.
Knock it off.,Sudah hentikan.
Let's try it.,Mari kita mencobanya.
My feet hurt.,Kakiku sakit.
No one cares.,Tidak ada satupun yang peduli.
Open the box.,Bukalah kotak itu.
Open the box.,Buka kotak itu.
Open the box.,Buka kotaknya.
Please hurry!,Cepatlah!
Set Tom free.,Bebaskan Tom.
She is eight.,Dia delapan tahun.
Show me that.,Perlihatkan itu padaku.
Stay at home.,Tinggallah di rumah!
Stop the car.,Hentikan mobilnya.
Sweet dreams!,Mimpi indah!
Thanks a lot.,Terima kasih banyak.
Thanks a lot.,Makasih banyak.
That's great!,Itu bagus!
That's right!,Tepat sekali!
That's weird.,Itu aneh.
This is easy.,ini gampang
This is food.,Ini adalah makanan.
Today is hot.,Hari ini panas.
Tom fixed it.,Tom memperbaiki itu.
Tom fixed it.,Tom membetulkannya.
Tom hates me.,Tom membenciku.
Tom insisted.,Tom memaksa.
Tom is tense.,Tom tidak tenang.
Tom liked it.,Tom menyukainya.
Tom likes it.,Tom menyukainya.
Tom needs it.,Tom membutuhkannya.
Tom saw them.,Tom melihat mereka.
Tom stutters.,Tom berbicara dengan gagap.
Tom was fine.,Tom dalam keadaan baik.
Tom was good.,Tom dalam keadaan baik.
Tom's polite.,Tom itu ramah.
Tom's strict.,Tom itu keras.
Try and swim!,Cobalah berenang!
Unbelievable!,Luar biasa!
Wait and see.,Lihat saja nanti!
We apologize.,Kami mohon maaf.
We'll fix it.,Kami akan memperbaikinya.
We're trying.,Kami sedang mencoba.
What is this?,Ini apa?
What's a UFO?,Apa itu UFO?
You're fools.,Kamu bodoh.
You're young.,Kamu muda.
Any questions?,Ada pertanyaan?
Anything else?,Ada lagi?
Anything else?,Ada yang lain?
Are you happy?,Apa kamu senang?
Are you happy?,Apa Anda bahagia?
Are you ready?,Kamu siap?
Are you ready?,Kalian siap?
Are you tired?,Kamu capek?
"Check, please.",Tolong bonnya.
Come back now.,Kembalilah sekarang.
Cook the rice.,Masaklah nasinya!
Do you get it?,Apa kamu paham?
Do you see it?,Apa kamu melihatnya?
Don't go away.,Jangan pergi.
Don't mock me.,Jangan mengejekku.
Eat something.,Makanlah sesuatu.
Feed the bird.,Beri makan burungnya!
Feed the bird.,Beri makan burungnya.
Get over here.,Kemari.
Get your gear.,Ambil perlengkapanmu.
Give it to me.,Berikan padaku.
God bless you!,Tuhan memberkatimu!
He ignored me.,Dia tidak menghiraukanku.
He seems sick.,Dia nampaknya sedang sakit.
He seems sick.,Dia terlihat sakit.
He shot at me.,Dia menembak ke arahku.
He's your son.,Dia anak laki-lakimu.
He's your son.,Dia anakmu.
Help the poor.,Bantulah orang-orang miskin.
Hold the rope.,Pegang tali itu.
How do you do?,Apa kabar?
How do you do?,Bagaimana kabar Anda?
I can do that.,Aku bisa melakukannya.
I can see Tom.,Aku bisa melihat Tom.
I can't do it.,Aku tidak bisa melakukannya.
I feel hungry.,Aku merasa lapar.
I hate Boston.,Aku benci Boston.
I have a home.,Aku punya tempat tinggal.
I have a twin.,Aku punya saudara kembar.
I have failed.,Aku sudah gagal.
I have failed.,Aku telah gagal.
I have sinned.,Aku telah berdosa.
I kid you not.,Aku tidak bercanda.
I like apples.,Aku suka apel.
I looked away.,Aku memalingkan wajahku.
I must refuse.,Aku harus menolak.
I must see it.,Saya harus melihatnya.
I play violin.,Aku bermain biola.
I tricked you.,Aku menipumu.
I use Twitter.,Saya menggunakan Twitter.
I want to die.,Aku ingin mati.
I went inside.,Saya masuk ke dalam.
I'm exhausted.,Aku kelelahan.
I'm not blind.,Saya tidak buta.
I'm on a diet.,Aku sedang melakukan diet.
I'm satisfied.,Aku puas.
I'm so hungry.,Aku sangat lapar.
I've tried it.,Aku sudah mencobanya.
Is it raining?,Apa sedang hujan?
Is that right?,Apa itu benar?
Is that wrong?,Apa itu salah?
It is raining.,Sedang turun hujan.
It was a hoax.,Itu cerita bohong.
It's for sale.,Ini dijual.
It's for sale.,Ini untuk dijual.
It's upstairs.,Ada di lantai atas.
Just trust me.,Sudah percaya saja padaku.
Let go of Tom.,Lepaskan Tom!
Let go of Tom.,Lepaskan Tom.
Let me see it.,Biarkan aku melihatnya.
Let me try it.,Biarkan aku mencobanya.
Let's do that.,Mari kita melakukannya.
Let's go back.,Ayo kembali.
Love is crazy.,Cinta itu gila.
No one saw us.,Tidak ada yang melihat kita.
"Quiet, please.",Harap tenang.
She went home.,Dia pulang.
She went home.,Ia pulang.
Show it to me.,Perlihatkan itu padaku.
Start running.,Mulailah berlari.
Stop dreaming.,Berhentilah bermimpi.
Take him away.,Bawa dia pergi.
That was fast.,Tadi itu cepat.
That was good.,Itu tadi enak.
That was good.,Itu enak.
That's a fake.,Itu palsu.
That's a joke.,Bercanda.
That's absurd.,Itu konyol.
That's enough.,Itu cukup.
They will die.,Mereka akan mati.
They're Asian.,Mereka orang Asia.
This is a pen.,Ini pulpen.
This is silly.,Ini bodoh.
This is weird.,Ini aneh.
This was good.,Ini enak.
Time is money.,Waktu adalah uang.
Tom blames us.,Tom menyalahkan kami.
Tom is cranky.,Tom bete.
Tom is immune.,Tom kebal.
Tom is polite.,Tom itu ramah.
Tom looks bad.,Tom terlihat buruk.
Tom was fired.,Tom dipecat.
Tom was happy.,Tom merasa bahagia.
Tom was lucky.,Tom beruntung.
We helped Tom.,Kami membantu Tom.
We need rules.,Kita membutuhkan aturan-aturan.
We will fight.,Kita akan bertarung.
We're leaving.,Kami berangkat.
What did I do?,Apa yang sudah kulakukan?
What happened?,Apa yang terjadi?
Where are you?,Kamu di mana?
Which is mine?,Yang mana punyaku?
You all right?,Kamu tidak apa-apa?
You're sleepy.,Kamu ngantuk.
You're stupid.,Kau bodoh
Are we sinking?,Kita tenggelam?
Are you asleep?,Kamu sudah tidur?
Are you hungry?,Apa kau lapar?
Are you hungry?,Apa kamu lapar?
Are you joking?,Apa kau bercanda?
Can I help you?,Bisa saya bantu?
Can you see it?,Kamu masih belum mengerti?
Can you see it?,Kamu masih belum memahaminya?
Change is good.,Perubahan itu bagus.
Come back home.,Kembali ke rumah.
Come back soon.,Segeralah kembali.
Do you hate me?,Apa kamu benci aku?
Don't say that.,Jangan katakan itu!
Don't tease me.,Jangan menggodaku.
Don't touch me.,Jangan sentuh aku!
Don't you know?,Apa kamu tidak tahu?
Get out of bed!,Turun dari kasur!
Get out of bed!,Bangun dari tempat tidur!
Get out of bed.,Bangunlah dari tempat tidur.
Give it to Tom.,Berikan itu kepada Tom.
Good afternoon.,Selamat siang.
Grab your gear.,Ambil perlengkapanmu.
Happy New Year!,Selamat tahun baru.
Happy birthday!,Selamat ulang tahun!
He came by bus.,Dia datang dengan bus.
He is a doctor.,Dia adalah seorang dokter.
He is an actor.,Dia adalah seorang aktor.
He is punctual.,Dia orang yang tepat waktu.
He looks young.,Dia terlihat muda.
He was perfect.,Dia sempurna.
How late is it?,Sudah terlambat berapa lamakah?
How late is it?,Sudah telat berapa lamakah?
How late is it?,Sudah telat berapa lama?
How much is it?,Berapa harganya?
I am a student.,Saya adalah seorang siswa.
I dislike eggs.,Aku tidak suka telur.
I go to school.,Saya pergi ke sekolah.
I hate dancing.,Aku benci menari.
I have a fever.,Saya demam.
I have a house.,Saya punya rumah.
I have no clue.,Aku tidak tahu sama sekali.
I have no time.,Saya tidak punya waktu.
I like lasagna.,Aku suka lasagna.
I like singing.,Aku suka bernyanyi.
I like surfing.,Saya suka berselancar.
I love dessert.,Saya suka makanan penutup.
I love lasagna.,Aku suka lasagna.
I must decline.,Aku harus menolak.
I need a stamp.,Aku butuh perangko.
I need friends.,Saya butuh teman.
I want a puppy.,Aku ingin seekor anak anjing.
I wear glasses.,Saya memakai kacamata.
I won't eat it.,Aku tidak mau memakannya.
I won't eat it.,Saya tidak mau memakan itu.
I'd rather die.,Lebih baik aku mati.
"I'll come, too.",Aku akan datang juga.
I'll need help.,Aku akan membutuhkan bantuan.
I'll phone you.,Aku akan meneleponmu.
I'll wait here.,Aku akan menunggu di sini.
I'm a free man.,Aku adalah lelaki yang bebas.
I'm not a baby.,Saya bukan bayi.
I'm not joking.,Aku tidak bercanda.
I'm not joking.,Aku tidak sedang bercanda.
I'm not stupid.,Saya tidak bodoh.
I'm reasonable.,Aku orang yang rasional.
I'm sick of it.,Aku muak dengan hal itu.
I'm very angry.,Aku sangat marah.
I'm very tired.,Aku sangat capek.
I've moved out.,Aku sudah pindah.
It must be Tom.,Itu pasti Tom.
It's hot today.,Hari ini panas.
It's up to you.,Terserah padamu.
Keep Tom quiet.,Jaga agar Tom tetap diam.
Leave it to me.,Serahkan semuanya padaku.
Leave me alone!,Tinggalkan aku sendiri!
Leave me alone.,Tinggalkan aku sendiri.
Lying is wrong.,Berbohong adalah perbuatan yang salah.
Peel the apple.,Kupas apel itu!
Peel the apple.,Kupaslah apel.
Please stop it.,Tolong hentikan itu.
Rise and shine.,Bangunlah.
She is running.,Dia sedang lari
She looked ill.,Dia tampak sakit.
She swims well.,Dia jago renang.
She's a beauty.,Dia seorang yang cantik.
So let's do it.,Jadi mari kita lakukan.
Stop screaming.,Berhenti berteriak.
Surfing is fun.,Berselancar itu menyenangkan.
Take your time.,Santai saja.
Thanks a bunch.,Terima kasih banyak.
Thanks a bunch.,Makasih banyak.
Thanks so much.,Terima kasih banyak.
Thanks so much.,Makasih banyak.
That felt good.,Itu tadi enak.
That was a lie.,Itu bohong.
That was close.,Tadi itu hampir saja.
That's chicken.,Itu ayam.
That's curious.,Itu aneh.
That's cyanide.,Itu sianida.
That's my line.,Harusnya aku yang bilang begitu.
That's strange.,Itu aneh.
That's strange.,Anehnya.
That's unlucky.,Sayang sekali.
There is a cat.,Ada seekor kucing.
There is a cat.,Ada kucing.
This is a joke.,Bercanda.
This is absurd.,Ini konyol.
This is my cat.,Ini kucing saya.
This is so sad.,Ini sangat menyedihkan.
This isn't fun.,Ini tidak menyenangkan.
Time to get up.,Waktunya bangun.
Tom can't swim.,Tom tidak bisa berenang.
Tom grows rice.,Tom menanam padi.
Tom ignored me.,Tom mengabaikanku.
Tom is a rabbi.,Tom adalah seorang rabi.
Tom is at home.,Tom ada di rumah.
Tom is jittery.,Tom gelisah.
Tom is nervous.,Tom gugup.
Tom is useless.,Tom tidak berguna.
Tom isn't weak.,Tom tidak lemah.
Tom looks pale.,Tom terlihat pucat.
Tom passed out.,Tom pingsan.
Tom saw a wolf.,Tom melihat seekor serigala.
Tom was crying.,Tom menangis.
Tom was eating.,Tom sedang makan tadi.
Tom works hard.,Tom bekerja dengan keras.
Tom's not weak.,Tom tidak lemah.
Was it a dream?,Apakah tadi itu mimpi?
We made a deal.,Kami membuat sebuah kesepakatan.
We'll be happy.,Kami akan senang.
We're confused.,Kami bingung.
We're confused.,Kita bingung.
We're confused.,Kami kebingungan.
We're credible.,Kami dapat dipercaya.
We're cultured.,Kami berbudaya.
We're sociable.,Kami seorang yang mudah bergaul.
What about Tom?,Bagaimana dengan Tom?
What if I fail?,Bagaimana kalau aku gagal?
What's so hard?,"Apa susahnya, sih?"
Where am I now?,Di mana aku sekarang?
Where were you?,Tadi kamu di mana?
Where were you?,Kamu di mana?
Where were you?,Tadi kau ada di mana?
Where's Boston?,Boston itu di mana?
Where's my car?,Mobilku mana?
Whose are they?,Itu punya siapa?
Why is he here?,Kenapa dia ada di sini?
You have to go.,Kamu harus pergi.
You're trapped.,Kamu terjebak.
You're useless.,Kamu tidak berguna.
Am I alone here?,Apakah aku sendirian di sini?
Are these yours?,Apa ini milikmu?
Are we done yet?,Apa kita masih belum selesai?
Are you certain?,Apakah kamu yakin?
Are you certain?,Apakah Anda yakin?
Are you certain?,Apa kau yakin?
Are you in love?,Apa kamu sedang jatuh cinta?
Are you kidding?,Apa kau bercanda?
Are you serious?,Apa kau serius?
Call my husband.,Panggil suamiku.
Can I bring Tom?,Boleh aku mengajak Tom?
Can it be fixed?,Apa bisa dibetulkan?
Close that door.,Tutup pintu itu.
Congratulations!,Selamat!
Do you have one?,Apa kamu punya satu?
Do you see that?,Apa kamu melihatnya?
Do you see this?,Apa kamu melihat ini?
Do you think so?,Apa kamu pikir begitu?
Don't be afraid.,Jangan takut.
Don't be scared.,Jangan takut.
Don't bother me.,Jangan ganggu aku.
Don't forget us.,Jangan lupakan kami.
Don't get angry.,Jangan marah.
Don't get drunk.,Jangan mabuk!
Don't stay here.,Jangan menetap di sini.
Double the dose.,Gandakan dosisnya.
Enjoy your food.,Nikmati makananmu.
Enjoy your meal!,Nikmati makananmu!
Enjoy your meal.,Nikmati makananmu.
Get your things.,Ambil barang-barangmu.
Grab your stuff.,Ambil barangmu!
He has two cats.,Dia punya dua kucing.
He likes tigers.,Dia suka macan.
He looks gloomy.,Dia terlihat suram.
He loves trains.,Dia suka kereta api.
He seems hungry.,Dia sepertinya sedang lapar.
He was cheating.,Dia berselingkuh.
He's helping me.,Dia menolongku.
He's my brother.,Dia kakak laki-lakiku.
He's my brother.,Dia kakakku.
He's my brother.,Dia adikku.
He's not in yet.,Dia masih belum ada.
Hi! How are you?,Hai! Bagaimana kabarmu?
Hi! How are you?,Hai! Apa kabar?
Hi. How are you?,Hai. Bagaimana kabarmu?
His name is Tom.,Namanya Tom.
"Hold on, please.",Tolong tunggu sebentar.
Hold the candle.,Pegang lilinnya!
How is it going?,Apa kabar?
How old are you?,Umur kamu berapa?
How's your foot?,Bagaimana kakimu?
I agree totally.,Saya sepenuhnya setuju.
I am from Spain.,Saya berasal dari Spanyol.
I am very tired.,Aku sangat capek.
I appreciate it.,Aku mengapresiasinya.
I can trust Tom.,Aku bisa memercayai Tom.
I can't do this.,Aku tidak bisa melakukan ini.
I do understand.,Aku mengerti.
I don't see Tom.,Aku tidak melihat Tom.
I get the point.,Aku paham maksudnya.
I have to study.,Aku harus belajar.
I have two cars.,Aku memiliki dua buah mobil.
I have two cats.,Saya punya dua ekor kucing.
I haven't slept.,Saya belum tidur.
I heard yelling.,Aku mendengar suara teriakan.
I know the girl.,Aku tahu perempuan itu.
I like your car.,Aku suka mobilmu.
I love eggplant.,Aku suka terung.
I need to study.,Aku perlu belajar.
I owe you a lot.,Aku berutang banyak padamu.
I surprised Tom.,Aku mengangetkan Tom.
I totally agree.,Saya sepenuhnya setuju.
I will continue.,Saya akan lanjutkan.
I'll be at home.,Aku akan di rumah.
I'll destroy it.,Aku akan menghancurkannya.
I'm almost done.,Aku hampir selesai.
I'm going to go.,Aku akan pergi.
I'm going to go.,Saya akan pergi.
I'm just joking.,Aku cuma bercanda.
I'm not a witch.,Aku bukan penyihir.
I'm not kidding.,Aku tidak bercanda.
I'm not kidding.,Aku tidak sedang bercanda.
I'm not leaving.,Aku tidak akan pergi.
I'm only joking.,Aku cuma bercanda.
I'm tired of it.,Aku lelah dengan hal itu.
I'm very hungry.,Aku sangat lapar.
I'm your friend.,Aku temanmu.
I've had enough.,Aku sudah muak.
Is it important?,Itu penting?
Is this a dream?,Apa ini mimpi?
Is this correct?,Apa ini benar?
Is this correct?,Apakah ini benar?
It is up to you.,Terserah padamu.
It isn't enough.,Ini tidak cukup.
It isn't enough.,Itu tidak cukup.
It looked cheap.,Kelihatannya itu murah.
It was a thrill.,Tadi itu seru sekali.
It wasn't funny.,Ini tidak lucu.
It won't be fun.,Itu tidak akan menyenangkan.
It's no problem.,Tidak masalah.
It's not a joke.,Ini bukan lelucon.
It's not broken.,Ini tidak rusak.
It's not enough.,Ini tidak cukup.
It's not enough.,Itu tidak cukup.
It's past eight.,Sekarang jam delapan lebih.
It's past eight.,Sekarang lewat jam delapan.
It's ridiculous.,Ini konyol.
It's ridiculous.,Itu konyol.
It's time to go.,Sudah waktunya untuk pergi.
Let me check it.,Biarkan aku memeriksanya.
Let me see that.,Biarkan aku melihatnya.
Let's come back.,Ayo kembali.
Let's do it now.,Mari kita lakukan sekarang.
Let's fly kites.,Ayo menerbangkan layang-layang.
Let's fly kites.,Ayo kita bermain layang-layang.
Let's turn back.,Ayo kembali.
Mistakes happen.,Kesalahan bisa terjadi.
"Mom, I'm hungry.","Mama, aku lapar."
My house is big.,Rumahku besar.
Nature is cruel.,Alam itu kejam.
Never forget it.,Jangan lupakan itu!
Never tell lies.,Jangan pernah berbohong.
Now you're safe.,Sekarang Anda sudah aman.
Please fix that.,Tolong betulkan itu.
Please fix this.,Tolong betulkan ini.
Please sit down.,Silakan duduk.
Raise your hand.,Angkat tanganmu.
Read this first.,Baca ini dulu.
Rejection hurts.,Penolakan itu menyakitkan.
She is a beauty.,Dia seorang yang cantik.
She married him.,Ia menikahinya.
She took it off.,Dia menanggalkannya.
She went inside.,Dia masuk ke dalam.
She went inside.,Dia masuk.
She's assertive.,Ia tegas.
She's assertive.,Dia tegas.
She's beautiful.,Dia cantik.
"Sorry, I forgot.","Maaf, saya melupakannya."
Thanks for this.,Terima kasih untuk ini.
That dog jumped.,Anjing itu lompat.
That isn't fair.,Itu tidak adil.
That's nonsense.,Itu omong kosong.
That's peculiar.,Itu aneh.
The book is red.,Buku itu berwarna merah.
The room is hot.,Ruangannya panas.
They are actors.,Mereka adalah aktor.
They feared you.,Mereka takut padamu.
They left early.,Mereka pulang lebih awal.
They left early.,Mereka pergi lebih awal.
